Precision@10,HitRate@10,avg_similarity,num_relevant,MAP@10,MRR@10,NDCG@10,relevance_scores,similarity_scores,user_id,CategoryCoverage,UniqueCategories,Entropy,GiniIndex,IntraListSimilarity,Novelty,Serendipity
0.2,1,0.2303995806071406,2,0.6111111111111112,1.0,0.7121596049663833,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0.2641508572484792, 0.23068118984955077, 0.23301441407944073, 0.2411005370847156, 0.24756619371576963, 0.1928468435548149, 0.21636361148445182, 0.1391490124317257, 0.3538102870244318, 0.185312859598026]",AFJ37FIRWQTWHQ62H4RVYNIBJIFA,1.8,18,4.0220552088742005,0.9305555555555556,0.49271003494720744,0.8666666666666667,0.43965130304575356
0.2,1,0.22763621693895675,2,0.6428571428571428,1.0,0.8069154022522287,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.2641508572484792, 0.23068118984955077, 0.2411005370847156, 0.22722310952345068, 0.24756619371576963, 0.1928468435548149, 0.2738064470988407, 0.1969561948512655, 0.21636361148445182, 0.18566718497822887]",AF2P3HVUXHUMXKMMIFALOZ7423PQ,1.8,18,4.060262039120379,0.9355281207133059,0.502158526419042,0.85,0.42316525254381426
0.2,1,0.2317257720692157,2,0.6428571428571428,1.0,0.8231193861086964,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0.28420101837012096, 0.22681831983851297, 0.2147766893071779, 0.23778883835054332, 0.22031811179506727, 0.1928468435548149, 0.2702710391106103, 0.18748871041248355, 0.23711850658413425, 0.24562964336869192]",AH3DXV5NJNVF447QL5MV7TSQ7FBQ,2.4,24,4.450212064914748,0.9464285714285714,0.5263048179385724,0.8833333333333333,0.418430744154261
0.1,1,0.20352278144280525,1,0.5,0.5,0.6309297535714575,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.22681831983851297, 0.26442383031476724, 0.14200024355736754, 0.23751634134603183, 0.1928468435548149, 0.24756619371576963, 0.18748871041248355, 0.19501935210906407, 0.14459178472797524, 0.1969561948512655]",AGYM5JPCYCAHZTIYJI2DQDXJ6AUQ,2.3,23,4.458591205867174,0.9519890260631002,0.5226557402025763,0.8826086956521739,0.4213081945168565
0.1,1,0.210556224760904,1,0.5,0.5,0.6309297535714575,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0.22681831983851297, 0.26442383031476724, 0.23068118984955077, 0.23751634134603183, 0.19501935210906407, 0.19829214760944897, 0.221520051265244, 0.18939693291614637, 0.17976982152325985, 0.16212426083701353]",AELQSQ6BNXFAUTZ2V37JOFY5HKWA,2.4,24,4.494680368408909,0.9515306122448979,0.5262826879406972,0.8833333333333333,0.4184502923190508
0.2,1,0.22051320034591654,2,0.8333333333333333,1.0,0.9221630632887953,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.2917573020242996, 0.23301441407944073, 0.27755393468146783, 0.1928468435548149, 0.21464266848196717, 0.23198038732110848, 0.18602675600465743, 0.20404781706768335, 0.15641839190323242, 0.2168434883404933]",AGI4LCDRIKZNJK7AEFZ6M4A3BV2A,1.8,18,4.070656113151927,0.9342403628117915,0.503202021298718,0.8833333333333333,0.4388382145194657
0.3,1,0.23704005621842436,3,0.6555555555555556,1.0,0.7642962647195795,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[0.2641508572484792, 0.14200024355736754, 0.27755393468146783, 0.1969561948512655, 0.24062357602042328, 0.24756619371576963, 0.1928468435548149, 0.23198038732110848, 0.2229120442091156, 0.3538102870244318]",AH7IZWGPZ2ZCCR36LEGJOZWGG4CA,1.9,19,4.142914673354254,0.9376181474480152,0.5489260132749965,0.8789473684210526,0.3964702935951347
0.2,1,0.21426014801115673,2,0.8333333333333333,1.0,0.9203624051265312,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0.26789833485072034, 0.22681831983851297, 0.26442383031476724, 0.23301441407944073, 0.1928468435548149, 0.18748871041248355, 0.24509410895397588, 0.08633568993064508, 0.18939693291614637, 0.24928429526006024]",AGDBG2TFVD4DW34BL2W37G3IHJ2Q,2.2,22,4.373660689688184,0.9472,0.5194835513413043,0.8863636363636364,0.4259123067656621
0.1,1,0.2083591657437799,1,1.0,1.0,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.26789833485072034, 0.22681831983851297, 0.23778883835054332, 0.1928468435548149, 0.21170456388164607, 0.19501935210906407, 0.2018935393924297, 0.19829214760944897, 0.1472819007829353, 0.20404781706768335]",AHGPFYTHVTMAHW5VMUQBMSBMIE7Q,2.0,20,4.220175521464346,0.9409722222222222,0.5318780735467148,0.88,0.411947295278891
0.1,1,0.1996841724289685,1,1.0,1.0,1.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2641508572484792, 0.20404781706768335, 0.23301441407944073, 0.23198038732110848, 0.1928468435548149, 0.18939693291614637, 0.12129772232289271, 0.19795080471939752, 0.20003168422270806, 0.16212426083701353]",AEBQF7NGCF4MG6IRUNDZ5P3DXXZA,2.1,21,4.334962500721156,0.9479166666666666,0.5015188060874899,0.8857142857142857,0.4415119146082232
0.2,1,0.21607796359789294,2,0.45,0.5,0.6170421418369619,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0.22681831983851297, 0.26442383031476724, 0.20404781706768335, 0.1928468435548149, 0.27755393468146783, 0.18748871041248355, 0.23711850658413425, 0.19501935210906407, 0.14459178472797524, 0.2308705366880261]",AHVRDCS5DQMY6OENYX3BJY3IIX6Q,2.4,24,4.532665279941249,0.9547325102880658,0.5216016706038008,0.8875,0.42457851733912677
0.2,1,0.22751788147637172,2,0.3611111111111111,0.5,0.5250052204240084,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0.22681831983851297, 0.26442383031476724, 0.23778883835054332, 0.20404781706768335, 0.21464266848196717, 0.1928468435548149, 0.18748871041248355, 0.19501935210906407, 0.3538102870244318, 0.19829214760944897]",AGGAEZZTJZWEGLEMKXW5NTNXH7VQ,1.9,19,4.137537511266053,0.9387755102040817,0.5074488033986949,0.8526315789473684,0.4199647044705864
0.2,1,0.21579653841558546,2,0.75,1.0,0.8637421112936396,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0.2641508572484792, 0.20404781706768335, 0.20580871738336953, 0.27755393468146783, 0.24756619371576963, 0.24062357602042328, 0.1928468435548149, 0.15790636550058382, 0.18602675600465743, 0.18143432297860562]",AHSIH73CGMFRHLPF66KVZLUMOYWQ,1.8,18,4.023136955868885,0.9300567107750473,0.4999825604267478,0.8722222222222222,0.43612632229444775
